text,label_hasil_prediksi
Kemasan keren.,Positif
Aplikasi parah.,Negatif
Fitur memuaskan.,Positif
Admin berkualitas tinggi.,Positif
Toko memuaskan.,Positif
Produk biasa saja.,Positif
Layanan kasar.,Negatif
Makanan keren.,Positif
Barang mengecewakan.,Negatif
Fitur warna putih.,Positif
Barang rusak.,Negatif
Aplikasi cepat sekali.,Positif
Fitur informasi lanjut.,Positif
Aplikasi cepat sekali.,Positif
Barang ramah.,Positif
Makanan ukuran sedang.,Positif
Admin informasi lanjut.,Positif
Kurir memuaskan.,Positif
Kurir parah.,Negatif
Barang berkualitas tinggi.,Positif
Makanan sangat bagus.,Positif
Toko warna putih.,Positif
Barang ukuran sedang.,Positif
Toko cepat sekali.,Positif
Toko sudah diterima.,Positif
Admin informasi lanjut.,Positif
Aplikasi informasi lanjut.,Positif
Toko oke.,Positif
Kurir standard.,Positif
Barang rusak.,Negatif
Aplikasi oke.,Positif
Kurir parah.,Negatif
Layanan kasar.,Negatif
Kurir tidak sesuai.,Negatif
Kurir memuaskan.,Positif
Layanan berkualitas tinggi.,Positif
Layanan warna putih.,Positif
Admin mahal tapi jelek.,Negatif
Kemasan warna putih.,Positif
Produk oke.,Positif
Toko sedang dicoba.,Positif
Admin sedang dicoba.,Positif
Barang recomended banget.,Positif
Fitur lambat.,Negatif
Kurir parah.,Negatif
Produk buruk sekali.,Negatif
Makanan mantap.,Positif
Produk cek dulu.,Positif
Kurir memuaskan.,Positif
Layanan memuaskan.,Positif
Toko sudah diterima.,Positif
Produk cepat sekali.,Positif
Kemasan sangat bagus.,Positif
Fitur parah.,Negatif
Barang mengecewakan.,Negatif
Barang ramah.,Positif
Makanan biasa saja.,Positif
Kemasan informasi lanjut.,Positif
Layanan warna putih.,Positif
Produk keren.,Positif
Layanan mahal tapi jelek.,Negatif
Kurir berkualitas tinggi.,Positif
Produk memuaskan.,Positif
Kurir cepat sekali.,Positif
Produk berkualitas tinggi.,Positif
Fitur sudah diterima.,Positif
Makanan sedang dicoba.,Positif
Admin cepat sekali.,Positif
Toko berkualitas tinggi.,Positif
Makanan informasi lanjut.,Positif
Barang memuaskan.,Positif
Kemasan sedang dicoba.,Positif
Barang tidak sesuai.,Negatif
Fitur sudah diterima.,Positif
Fitur payah.,Negatif
Produk parah.,Negatif
Kurir ramah.,Positif
Fitur lambat.,Negatif
Makanan standard.,Positif
Makanan payah.,Negatif
Fitur sudah diterima.,Positif
Produk luar biasa.,Positif
Kurir buruk sekali.,Negatif
Produk oke.,Positif
Layanan keren.,Positif
Fitur recomended banget.,Positif
Makanan standard.,Positif
Makanan cek dulu.,Positif
Kurir keren.,Positif
Toko tidak sesuai.,Negatif
Aplikasi ada di meja.,Positif
Makanan recomended banget.,Positif
Toko rusak.,Negatif
Barang sedang dicoba.,Positif
Kemasan sudah diterima.,Positif
Kurir mahal tapi jelek.,Negatif
Fitur lambat.,Negatif
Layanan warna putih.,Positif
Kurir ukuran sedang.,Positif
Admin kasar.,Negatif
Makanan sudah diterima.,Negatif
Produk parah.,Negatif
Admin cek dulu.,Positif
Aplikasi memuaskan.,Positif
Barang mengecewakan.,Negatif
Layanan berkualitas tinggi.,Positif
Kemasan mahal tapi jelek.,Negatif
Layanan biasa saja.,Positif
Aplikasi mengecewakan.,Negatif
Makanan memuaskan.,Positif
Layanan berkualitas tinggi.,Positif
Admin lambat.,Negatif
Aplikasi biasa saja.,Positif
Aplikasi ramah.,Positif
Admin warna putih.,Positif
Aplikasi memuaskan.,Positif
Aplikasi ada di meja.,Positif
Barang biasa saja.,Positif
Toko tidak sesuai.,Negatif
Fitur ramah.,Positif
Barang tidak sesuai.,Negatif
Aplikasi lambat.,Negatif
Barang ukuran sedang.,Positif
Kemasan luar biasa.,Positif
Produk ukuran sedang.,Positif
Kemasan sudah diterima.,Positif
Admin buruk sekali.,Negatif
Kemasan sampai tadi siang.,Negatif
Layanan sedang dicoba.,Positif
Aplikasi rusak.,Negatif
Admin error terus.,Negatif
Admin buruk sekali.,Negatif
Fitur kasar.,Negatif
Layanan sangat bagus.,Positif
Aplikasi lambat.,Negatif
Produk sedang dicoba.,Positif
Kemasan payah.,Negatif
Kurir informasi lanjut.,Positif
Admin informasi lanjut.,Positif
Kurir mantap.,Positif
Kemasan parah.,Negatif
Layanan sedang dicoba.,Positif
Kurir luar biasa.,Positif
Makanan ramah.,Positif
Admin sampai tadi siang.,Positif
Toko keren.,Positif
Kemasan luar biasa.,Positif
Toko ada di meja.,Positif
Makanan ukuran sedang.,Positif
Aplikasi warna putih.,Positif
Kurir sudah diterima.,Positif
Barang warna putih.,Positif
Admin mantap.,Positif
Kurir cek dulu.,Positif
Barang sampai tadi siang.,Negatif
Kurir recomended banget.,Positif
Admin cek dulu.,Positif
Kemasan cek dulu.,Positif
Produk sangat bagus.,Positif
Makanan sangat bagus.,Positif
Kemasan cek dulu.,Positif
Makanan cek dulu.,Positif
Barang keren.,Positif
Fitur payah.,Negatif
Barang memuaskan.,Positif
Makanan oke.,Positif
Makanan recomended banget.,Positif
Kurir ramah.,Positif
Layanan lambat.,Negatif
Admin berkualitas tinggi.,Positif
Admin error terus.,Negatif
Kemasan informasi lanjut.,Positif
Kurir memuaskan.,Positif
Kemasan mengecewakan.,Negatif
Fitur sudah diterima.,Positif
Toko rusak.,Negatif
Produk mantap.,Positif
Admin sudah diterima.,Positif
Fitur lambat.,Negatif
Makanan cek dulu.,Positif
Aplikasi tidak sesuai.,Negatif
Admin ada di meja.,Positif
Kemasan informasi lanjut.,Positif
Admin ukuran sedang.,Positif
Layanan cepat sekali.,Positif
Fitur mengecewakan.,Negatif
Toko lambat.,Negatif
Layanan sudah diterima.,Positif
Aplikasi cepat sekali.,Positif
Makanan keren.,Positif
Kemasan berkualitas tinggi.,Positif
Kurir sampai tadi siang.,Negatif
Barang recomended banget.,Positif
Fitur warna putih.,Positif
Kemasan cek dulu.,Positif
Makanan ada di meja.,Positif
Admin warna putih.,Positif
Kemasan error terus.,Negatif
Toko buruk sekali.,Negatif
Admin mahal tapi jelek.,Negatif
Kurir mahal tapi jelek.,Negatif
Fitur mantap.,Positif
Toko biasa saja.,Positif
Fitur recomended banget.,Positif
Produk rusak.,Negatif
Toko warna putih.,Positif
Layanan mantap.,Positif
Layanan memuaskan.,Positif
Toko cek dulu.,Positif
Aplikasi berkualitas tinggi.,Positif
Layanan berkualitas tinggi.,Positif
Makanan warna putih.,Positif
Toko mahal tapi jelek.,Negatif
Kurir sangat bagus.,Positif
Admin biasa saja.,Positif
Barang recomended banget.,Positif
Kurir error terus.,Negatif
Fitur sedang dicoba.,Positif
Toko error terus.,Negatif
Produk ada di meja.,Positif
Admin recomended banget.,Positif
Barang standard.,Positif
Toko informasi lanjut.,Positif
Barang sudah diterima.,Positif
Toko ada di meja.,Positif
Barang tidak sesuai.,Negatif
Fitur biasa saja.,Positif
Layanan lambat.,Negatif
Produk cek dulu.,Positif
Layanan lambat.,Negatif
Produk mengecewakan.,Negatif
Admin ada di meja.,Positif
Fitur sedang dicoba.,Positif
Fitur lambat.,Negatif
Produk error terus.,Negatif
Layanan keren.,Positif
Admin luar biasa.,Positif
Barang warna putih.,Positif
Makanan sudah diterima.,Negatif
Barang sangat bagus.,Positif
Barang cek dulu.,Negatif
Admin sangat bagus.,Positif
Barang ukuran sedang.,Positif
Layanan recomended banget.,Positif
Makanan informasi lanjut.,Positif
Toko sampai tadi siang.,Negatif
Layanan rusak.,Negatif
Aplikasi tidak sesuai.,Negatif
Fitur keren.,Positif
Makanan biasa saja.,Positif
Barang informasi lanjut.,Positif
Produk ukuran sedang.,Positif
Layanan lambat.,Negatif
Toko sedang dicoba.,Positif
Admin ukuran sedang.,Positif
Kurir rusak.,Negatif
Kurir warna putih.,Positif
Produk sudah diterima.,Positif
Kurir kasar.,Negatif
Layanan parah.,Negatif
Admin mengecewakan.,Negatif
Layanan mahal tapi jelek.,Negatif
Fitur mantap.,Positif
Aplikasi cek dulu.,Positif
Makanan mahal tapi jelek.,Negatif
Layanan ramah.,Positif
Kurir sangat bagus.,Positif
Admin ada di meja.,Positif
Barang luar biasa.,Positif
Kemasan berkualitas tinggi.,Positif
Kurir keren.,Positif
Admin sudah diterima.,Positif
Makanan rusak.,Negatif
Toko rusak.,Negatif
Kurir payah.,Negatif
Aplikasi biasa saja.,Positif
Produk recomended banget.,Positif
Admin payah.,Negatif
Barang memuaskan.,Positif
Admin kasar.,Negatif
Barang luar biasa.,Positif
Makanan sudah diterima.,Negatif
Aplikasi tidak sesuai.,Negatif
Produk mahal tapi jelek.,Negatif
